Brand,Brand_Short,Brand_Subtitle,Line,Title,Description,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Mind/Body Release,"Be Prepared to Sleep. Listening to our Bodies ailments reveals the Spiritual, Emotional and Mental distress we are hiding from. Listening and Paying Attention to our bodies allows the voice to be soft and easy. When ignored, the body feels it needs to YELL to grab our attention causing pain, discomfort, and exhaustion.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"rosemary, ginger, bergamot, and eucalyptus"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Mirror,Healing the Shadow Self through seeing it. Shine your Bright Light of Spirit on all those you encounter. Be the Beauty that raises the Energy of All. Release the Seed hidden within your Original Wound. It Heals All.,,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"ginger, palmarosa, rosewood, copaiba balsam, sage dalmation, hyssop, and ho wood"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Physical Body,"Physical stress and pain is an effective way to keep others at bay. ""Don't Touch Me!"" This practice attempts to close the doors on our original trauma memories. Similar to a young child covering their eyes to hide, thinking they cant be seen if they cant see. Release the Protective Inflammation and walk one more step toward the freedom of the Next Adventure.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"litsea cubeba, black pepper, pine, and marjoram"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Psychic Protection,"It is very easy to pick up on others Emotions and Physical Symptoms. It is a good practice to build Energetic Boundaries that serve us when we are distracted. Visualize an upside down Quick Silver Egg around you. The Quick Silver Energy moves and shifts to keep your Energy Clear. As you build your Practice, you can change the Colour. Purple for Intuition, Pink for Love, Black for Creativity, Brown for Grounding, Green for Growth and Change.   ",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"rose, green oak moss, ho wood, cedar, cypress, and ylang-ylang"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Sexual Healing,"Sexual intercourse is a Gift of Universal Love between consenting adults. Embrace a return to the freedom, beauty & ecstacy of physical union. Single-Dual-Multiple Sexual Energy Feeds us, Moves us and brings to life all that is True and Mutable. Sexual Energy Heals on all levels and is Mirrored to the World.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"clary sage, patchouli, ylang-ylang and a touch of anniseed"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Shaman,"The unprotected, uncommitted, distracted body picks up energetic hooks all day, every day. It is the individual's responsibility to keep themselves clear of these hooks. To live an unfettered life. Visualize the hooks losing their barbs and release. See them honorably planted into the Earth. Give thanks for the lessons learned. Send them Universal Love on their Journeys. Breathe their connection into the Earth as They embrace their own Connection.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"sage, green oak moss, lemon, fennel, rosemary, tea tree, spruce, and cedar"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Sol-Warrior,"You were born for this. Two Monsters Meeting at the Top of the Mountain The LIGHT and the DARK for generations we have built to this point. Remembering and Awakening to this Time  Humanity's Evolution Candle Burning at Both Ends. Opposite energies burning toward each other over Millennia. The Value of each being equal, it is the disconnect we Heal. Divergent Paths cross. The Balance is in the Middle Time. Some go Left. Some go Right. The Core Builds the New Generation. Grandmas Lead the Way",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"frankincense, myrhh, palo santo, and lemon with jasmine master essence"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Soul Strings - The Key,"When two or more embrace as: The Other, The One, our Soul Strings open and The Key Turns. A Soul String Connection can occur with a plant, tree, pet, acquaintance, family member, or Lover. Soul Strings run the length of the Body, most times they are white, other times different colours. Each Body has a different configuration, like finger prints. When two Beings line up and sync their strings together there is an experience of an escape from the Physical and the generous melding of the souls. The Key Turns. We are Open, Free, One.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"jamarosa, five fold orange, hyssop, frankincense, aniseed, and myrrh"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Spirit/Soul Retrieval,"A practice healing trauma. Return to source. Forgive self. Ensure that your Physical Vessel is a safe Haven for your Spirit/Soul. Do the work. Let your self medication, when triggered, be choosing a New Focus/Direction.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"frankincense, myrhh, and ylang-ylang"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Surrender,"A Season for Everything. You are exactly where you need to be, doing exactly what you need to do, otherwise, you'd be Somewhere Else doing Something Else. Surrender and Shift Happens. The concept of Spiritual Surrender equals releasing our learning around how Struggle has Value.�""If I am Struggling my Life has Value."" �Releasing Struggle looks like Rolling back and lowering the shoulders from the ears. Release attachment to Drama, let go of connection to life being HARD. It gets simpler and easier.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"balsam, five fold orange, lavender, rosewood, and tangerine"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,The Lovers,"We find human evolution in the care and communication within our Lover relationships. Spirit is lifted as we love ourselves easily and completely. The Love we show ourselves is equal to the Love we show the Other. Coming together as one raises our vibration, heals and restructures the DNA, moving us toward our True expression in this world.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"green oak moss, honey, and rose"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Traveller - Shaman 3.0,"Release Control. Trust the Process. A Mad Skill we are Remembering is Astral Travel. The ability to transmute daily Life Energy into Interdimensional/Time/Space Travel. As the World's Energy Shifts, this Skill returns. As more Practice, the easier it is for All. The Hundredth Monkey System. We remove barriers of Belief and Attachment to Structure.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"wormwood, vetiver, valerian, jasmine, rosewood, lavender, and eucalyptus"
