Line,Line Format,Title,Title Format,Description,Description Format,Subtitle_1,Subtitle_1 Format,#Subtitle_1_Visible,#Subtitle_1_Visible Format,Subtitle_2,Subtitle_2 Format,#Subtitle_2_Visible,#Subtitle_2_Visible Format,@Image,@Image Format,Oils,Oils Format
Master Cleanse,,Traveller - Shaman 3.0,,"Release Control. Trust the Process. A Mad Skill we are Remembering is Astral Travel. The ability to transmute daily Life Energy into Interdimensional/Time/Space Travel. As the World's Energy Shifts, this Skill returns. As more Practice, the easier it is for All. The Hundredth Monkey System. We remove barriers of Belief and Attachment to Structure.",,,,,,,,,,,,"wormwood, vetiver, valerian, jasmine, rosewood, lavender, and eucalyptus",
Traditional,,Bad Kitty,,,,The bath your mother,,TRUE,,warned you about,,TRUE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bad Kitty.ai,,"palmarosa, neroli, and wintergreen",
Traditional,,Bliss,,,,Napping in the sun,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bliss.ai,,"rose geranium, ylang-ylang, and peppermint",
Traditional,,Detox,,,,Be prepared to sleep,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Detox.ai,,"rosemary, bergamot, ginger, and eucalyptus",
Traditional,,Dragon's Blood,,,,Focus and direction,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dragon's Blood.ai,,dragon's blood,
Traditional,,Dreamtime,,,,Find messages in your dreams,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dreamtime.ai,,"wormwood, vetiver, valerian, rosewood, lavender, and eucalyptus",
Traditional,,Earth,,,,Relief of pain and snoring,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Earth.ai,,"litsea cubeba, black pepper, pine, and marjoram",
Traditional,,Freedom,,,,Be prepared to sleep,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Freedom.ai,,"bergamot, eucalyptus, rosemary and ginger",
Traditional,,Intuition,,,,Improves with practice,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Intuition.ai,,"wormwood, vetiver, valerian, rosewood, lavender and eucalyptus",
Traditional,,Keep Calm,,,,And Transmute,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Keep Calm.ai,,"black pepper, pine, and marjoram",
Traditional,,Lavender,,,,"Calming, soothing, and relaxing",,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lavender.ai,,"lavender, clary sage, and ylang-ylang",
Traditional,,Lime,,,,Be prepared to clean the tub!,,TRUE,,Lime removes dead skin,,TRUE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lime.ai,,lime,
Traditional,,Master Zing,,,,Be prepared to dance,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Master Zing.ai,,"five fold orange, five fold lemon, mandarin, clove, and patchouli",
Traditional,,Melissa,,,,Valium in the bath,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Melissa.ai,,melissa,
Traditional,,Mint,,,,Refreshing,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Mint.ai,,"peppermint, sweet birch, wintergreen and spearmint",
Traditional,,Nag Champa,,,,"Love, light, and peace",,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Nag Champa.ai,,nag champa,
Traditional,,Namaste,,,,We greet the best in each other,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Namaste.ai,,"peru balsam, five fold orange, mandarin, lavender, and rosewood",
Traditional,,Patience,,,,Everything that is meant to be will be,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Patience.ai,,"balsam, five fold orange, lavender, rosewood, and tangerine",
Traditional,,Relax,,,,Be prepared to sleep,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Relax.ai,,"bergamot, eucalyptus, rosemary, and ginger",
Traditional,,Rose,,,,Balancing the core,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Rose.ai,,rose,
Traditional,,Sage,,,,Sage is crafted to clear your energy,,TRUE,,See deeply and serenely into the Universe,,TRUE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sage.ai,,"sage, lemon, fennel, rosemary, tea tree, spruce, cedar, and green oak moss",
Traditional,,Shine,,,,Be your own shine,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Shine.ai,,"frankincense, myrrh, ylang-ylang",
Traditional,,Sweetgrass,,,,Bring in all the new clear energy,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sweetgrass.ai,,sweetgrass,
Traditional,,Tantra,,,,,,FALSE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Tantra.ai,,tantra blend,
Traditional,,Thieves,,,,,,FALSE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,,"cinnamon, five fold lemon, clove, eucalyptus, and rosemary",
Traditional,,Transform,,,,Sweet and easy evolution,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Transform.ai,,"violet, rose, and jasmine",
Traditional,,Violet,,,,Ease of communication,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Violet.ai,,violet,
Traditional,,Wild Love,,,,Accept the wild nature,,TRUE,,,,FALSE,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Wild Love.ai,,"patchouli, ylang-ylang, aniseed",
Vintage,,All The Orange,,,,,,FALSE,,,,FALSE,,,,"mandarin, sweet orange, and five fold orange",
Vintage,,Bergamot,,,,,,FALSE,,,,FALSE,,,,bergamot,
Vintage,,Cedar,,,,,,FALSE,,,,FALSE,,,,cedar,
Vintage,,Coconut,,,,,,FALSE,,,,FALSE,,,,coconut,
Vintage,,Coffee,,,,,,FALSE,,,,FALSE,,,,coffee,
Vintage,,Elder Rose,,,,,,FALSE,,,,FALSE,,,,elder rose,
Vintage,,Eucalyptus,,,,,,FALSE,,,,FALSE,,,,eucalyptus,
Vintage,,Frankincense,,,,,,FALSE,,,,FALSE,,,,frankincense,
Vintage,,Frankincense and Myrrh,,,,,,FALSE,,,,FALSE,,,,frankincense and myrrh,
Vintage,,Gardenia,,,,,,FALSE,,,,FALSE,,,,gardenia,
Vintage,,Ginger blossom,,,,,,FALSE,,,,FALSE,,,,ginger blossom,
Vintage,,Green Tea,,,,,,FALSE,,,,FALSE,,,,green tea,
Vintage,,Hard Candy,,,,,,FALSE,,,,FALSE,,,,hard candy,
Vintage,,Honey,,,,,,FALSE,,,,FALSE,,,,honey,
Vintage,,Honeysuckle,,,,,,FALSE,,,,FALSE,,,,honeysuckle,
Vintage,,Huckleberry,,,,,,FALSE,,,,FALSE,,,,huckleberry,
Vintage,,Island Summer,,,,,,FALSE,,,,FALSE,,,,island summer,
Vintage,,Japanese Cherry Blossom,,,,,,FALSE,,,,FALSE,,,,japanese cherry blossom,
Vintage,,Jasmine,,,,,,FALSE,,,,FALSE,,,,jasmine,
Vintage,,Lavender,,,,,,FALSE,,,,FALSE,,,,lavender,
Vintage,,Lemon,,,,,,FALSE,,,,FALSE,,,,lemon,
Vintage,,Lemon Blossom,,,,,,FALSE,,,,FALSE,,,,lemon blossom,
Vintage,,Lemongrass,,,,,,FALSE,,,,FALSE,,,,lemongrass,
Vintage,,Lily of the Valley,,,,,,FALSE,,,,FALSE,,,,lily of the valley,
Vintage,,Lotus,,,,,,FALSE,,,,FALSE,,,,lotus,
Vintage,,Magnolia,,,,,,FALSE,,,,FALSE,,,,magnolia,
Vintage,,Manchurian Dragon,,,,,,FALSE,,,,FALSE,,,,manchurian dragon,
Vintage,,Marbella,,,,,,FALSE,,,,FALSE,,,,marbella,
Vintage,,Moonlight Walk,,,,,,FALSE,,,,FALSE,,,,moonlight walk,
Vintage,,Moroccan Midnight,,,,,,FALSE,,,,FALSE,,,,moroccan midnight,
Vintage,,Nag Champa,,,,,,FALSE,,,,FALSE,,,,nag champa,
Vintage,,Neroli,,,,,,FALSE,,,,FALSE,,,,neroli,
Vintage,,Ocean,,,,,,FALSE,,,,FALSE,,,,ocean,
Vintage,,Patchouli,,,,,,FALSE,,,,FALSE,,,,patchouli,
Vintage,,Peach,,,,,,FALSE,,,,FALSE,,,,peach,
Vintage,,Peppermint,,,,,,FALSE,,,,FALSE,,,,peppermint,
Vintage,,Plumeria,,,,,,FALSE,,,,FALSE,,,,plumeria,
Vintage,,Pomegranate,,,,,,FALSE,,,,FALSE,,,,pomegranate,
Vintage,,Red Currant and Thyme,,,,,,FALSE,,,,FALSE,,,,red currant and thyme,
Vintage,,Rose,,,,,,FALSE,,,,FALSE,,,,rose,
Vintage,,Sage,,,,,,FALSE,,,,FALSE,,,,sage,
Vintage,,Sandalwood,,,,,,FALSE,,,,FALSE,,,,sandalwood,
Vintage,,Sweet Pea,,,,,,FALSE,,,,FALSE,,,,sweet pea,
Vintage,,Sweetgrass,,,,,,FALSE,,,,FALSE,,,,sweetgrass,
Vintage,,Vanilla,,,,,,FALSE,,,,FALSE,,,,vanilla,
Vintage,,Violet,,,,,,FALSE,,,,FALSE,,,,violet,
Vintage,,White Tea and Ginger,,,,,,FALSE,,,,FALSE,,,,white tea and ginger,
Vintage,,Wild Rose,,,,,,FALSE,,,,FALSE,,,,wild rose,
Vintage,,Dragon's Blood,,,,,,FALSE,,,,FALSE,,,,dragon's blood,
Vintage,,Wintergreen,,,,,,FALSE,,,,FALSE,,,,wintergreen,
Vintage,,Allspice,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Amber,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Aniseed,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Apple Pie,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Armoise Mugwort,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Back Forest,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Black Magic,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Black Pepper,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Cade,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Cassia,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Cedarwood,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Champagne,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Chocolate,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Clove Bud,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Cool Water,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Cotton,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Cypress,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Five Fold Orange,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Frangipani,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Fuzzy Peach,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Ginger,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Grapefruit,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Green Leaves,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Hawaiian Ginger,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Ho Wood,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Hyssop,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Jamaican Spice,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Jamarosa,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Leather & Lace,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Lime,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Litsea Cubeba,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Maple Syrup,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Marjoram,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Melissa,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Myrtle,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Ocean Breeze,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Opium,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Palmarosa,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Palo Santo,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Patchouli Light,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Peaches & Cream,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Pennyroyal,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Pine Scotch,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Pumpkin Pie,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Raspberry,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Red Rose,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Remembering,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Rose Geranium,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Rosemary,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Rosewood,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Spearmint,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Spring Magnolia,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Sweet Birch,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Sweet Orange,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Tea Tree,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Temptation,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Vetiver,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Water Crystal,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,White Rose,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Winter,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Wormwood,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Yarrow,,,,,,FALSE,,,,FALSE,,,,,
Vintage,,Ylang Ylang,,,,,,FALSE,,,,FALSE,,,,,
